source,url,pub_time_et,title,text_clean,title_norm,prob_neg,prob_neu,prob_pos,label_idx,w
https://finance.yahoo.com/news/rssindex,https://finance.yahoo.com/personal-finance/banking/article/how-to-save-money-193015616.html,2024-07-17 15:30:15-04:00,How to save money in 2025: 54 tips to grow your wealth,How to save money in 2025: 54 tips to grow your wealth,how to save money in 2025: 54 tips to grow your wealth,0.07115319,0.0213864,0.90746045,2,0.0001072323099413485
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/trump-big-bank-conservative-bias-accusations-168abb27?mod=rss_markets_main,2025-01-25 05:30:00-05:00,Trump Adds Fuel to Claims That Big Banks Discriminate Against Conservatives,Trump Adds Fuel to Claims That Big Banks Discriminate Against Conservatives. The president has told Bank of America and JPMorgan Chase to stop cutting conservatives off from doing business,trump adds fuel to claims that big banks discriminate against conservatives,0.018624756,0.8772586,0.104116715,1,0.00021157073281157318
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/rising-house-mortgage-costs-north-carolina-home-468a46e5?mod=rss_markets_main,2025-01-25 21:00:00-05:00,"One House, Three Owners: The Ballooning Cost of the American Dream","One House, Three Owners: The Ballooning Cost of the American Dream. The story of home affordability in the U.S. told from a single front porch","one house, three owners: the ballooning cost of the american dream",0.044729967,0.029652884,0.92561716,2,0.00021226682926517112
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/china-cryptocurrency-market-trading-restrictions-3e050cd9?mod=rss_markets_main,2025-01-26 00:01:00-05:00,"In China, a Cat-and-Mouse Game to Rein In Crypto","In China, a Cat-and-Mouse Game to Rein In Crypto. Recent court cases reveal how middlemen are facilitating a booming trade, eluding a crackdown","in china, a cat-and-mouse game to rein in crypto",0.44552428,0.054945752,0.49953005,2,0.0002124028389312308
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/now-wanted-in-silicon-valley-ho-hum-businesses-with-thin-profit-margins-ab07de5f?mod=rss_markets_main,2025-01-26 05:30:00-05:00,Now Wanted in Silicon Valley: Ho-Hum Businesses With Thin Profit Margins,"Now Wanted in Silicon Valley: Ho-Hum Businesses With Thin Profit Margins. Venture-capital firms are bringing AI and dealmaking to accounting, property management and other unglamorous fields",now wanted in silicon valley: ho-hum businesses with thin profit margins,0.033199795,0.23745534,0.72934484,2,0.00021265050778191332
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/what-will-it-take-for-home-buyers-to-start-asking-for-a-disaster-discount-c662cb96?mod=rss_markets_main,2025-01-26 06:00:00-05:00,What Will It Take for Home Buyers to Start Asking for a Disaster Discount?,What Will It Take for Home Buyers to Start Asking for a Disaster Discount?. The real costs of owning a house in neighborhoods that are vulnerable to flooding and wildfires are becoming clearer,what will it take for home buyers to start asking for a disaster discount?,0.047543146,0.26419604,0.6882608,2,0.0002126731203054256
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/heard-on-the-streets-stock-picking-series-98f04640?mod=rss_markets_main,2025-01-26 22:33:00-05:00,Heard on the Street's Stock-Picking Series,Heard on the Street's Stock-Picking Series. Check out the stocks Heard on the Street writers favor in their eighth annual stock-picking contest,heard on the street's stock-picking series,0.04318055,0.021959525,0.9348599,2,0.00021342431844613769
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/the-extra-reward-for-owning-stocks-over-bonds-has-disappeared-c3f9c223?mod=rss_markets_main,2025-01-27 01:05:00-05:00,The Extra Reward for Owning Stocks Over Bonds Has Disappeared,"The Extra Reward for Owning Stocks Over Bonds Has Disappeared. There is little sign of crimped demand for equities among individual investors, who remain bullish after two years of blockbuster gains",the extra reward for owning stocks over bonds has disappeared,0.055511773,0.8554354,0.089052826,1,0.00021353977405067374
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/oil-futures-fall-after-trump-calls-for-tariffs-on-colombia-5b2a178c?mod=rss_markets_main,2025-01-27 04:46:00-05:00,"Russia's Crude Exports Fairly Stable Despite U.S. Sanctions, Goldman Says","Russia's Crude Exports Fairly Stable Despite U.S. Sanctions, Goldman Says. Oil edged lower in early trade as Goldman Sachs said the latest round of U.S. sanctions against Russia haven’t had a significant impact on the country’s oil exports","russia's crude exports fairly stable despite u.s. sanctions, goldman says",0.040611297,0.9470211,0.012367566,1,0.00021370786344201991
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/jgbs-consolidate-supported-by-u-s-treasurys-gains-7edccc7d?mod=rss_markets_main,2025-01-27 05:02:00-05:00,U.S. Treasury Yields Fall But Direction for Long-End Yields Still Seen Upward,U.S. Treasury Yields Fall But Direction for Long-End Yields Still Seen Upward. The 10-year U.S. Treasury yield fell and ING said the the long end of the Treasury curve will continue trading at higher yields even as Trump hasn’t delivered anything to shock markets so far,u.s. treasury yields fall but direction for long-end yields still seen upward,0.025596168,0.9561402,0.018263616,1,0.00021372004308302842
https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com/articles/chinese-investors-with-few-options-turn-to-dividends-ad31dcc4?mod=rss_markets_main,2025-01-27 05:30:00-05:00,Chinese Investors With Few Options Turn to Dividends,Chinese Investors With Few Options Turn to Dividends. Companies with good payouts are now the hottest bet in China markets,chinese investors with few options turn to dividends,0.06748136,0.26797336,0.66454524,2,0.00021374136079568612
